episode,distance,duration_ticks,crashed,epsilon
543,14810.00,1481,True,0.7871
544,2810.00,281,True,0.7870
545,12650.00,1265,True,0.7864
546,2490.00,249,True,0.7862
547,1850.00,185,True,0.7862
548,2000.00,200,True,0.7861
549,3270.00,327,True,0.7859
550,3920.00,392,True,0.7857
551,1870.00,187,True,0.7856
552,6330.00,633,True,0.7853
553,4470.00,447,True,0.7851
554,4660.00,466,True,0.7849
555,3900.00,390,True,0.7847
556,4610.00,461,True,0.7844
557,2980.00,298,True,0.7843
558,4400.00,440,True,0.7841
559,1930.00,193,True,0.7840
560,2350.00,235,True,0.7839
561,3290.00,329,True,0.7837
562,3770.00,377,True,0.7835
563,3090.00,309,True,0.7834
564,3770.00,377,True,0.7832
565,1810.00,181,True,0.7831
566,5260.00,526,True,0.7828
567,3590.00,359,True,0.7827
568,5270.00,527,True,0.7824
569,3360.00,336,True,0.7822
570,3870.00,387,True,0.7821
571,7580.00,758,True,0.7817
572,3930.00,393,True,0.7815
573,7680.00,768,True,0.7811
574,3720.00,372,True,0.7809
575,1790.00,179,True,0.7809
576,4960.00,496,True,0.7806
577,3600.00,360,True,0.7804
578,10640.00,1064,True,0.7799
579,6800.00,680,True,0.7796
580,10620.00,1062,True,0.7791
581,1860.00,186,True,0.7790
582,2890.00,289,True,0.7788
583,5630.00,563,True,0.7786
584,4460.00,446,True,0.7783
585,6250.00,625,True,0.7780
586,2790.00,279,True,0.7779
587,6060.00,606,True,0.7776
588,7850.00,785,True,0.7772
589,6290.00,629,True,0.7769
590,3800.00,380,True,0.7767
591,5370.00,537,True,0.7765
592,2200.00,220,True,0.7764
593,3330.00,333,True,0.7762
594,4060.00,406,True,0.7760
595,3020.00,302,True,0.7759
596,3280.00,328,True,0.7757
597,1890.00,189,True,0.7756
598,3300.00,330,True,0.7755
599,5680.00,568,True,0.7752
600,2360.00,236,True,0.7751
601,3570.00,357,True,0.7749
602,1830.00,183,True,0.7748
603,3520.00,352,True,0.7746
604,3210.00,321,True,0.7745
605,3300.00,330,True,0.7743
606,4490.00,449,True,0.7741
607,4190.00,419,True,0.7739
608,3730.00,373,True,0.7737
609,3340.00,334,True,0.7736
610,1800.00,180,True,0.7735
611,4260.00,426,True,0.7733
612,4650.00,465,True,0.7731
613,6630.00,663,True,0.7727
614,3670.00,367,True,0.7726
615,9150.00,915,True,0.7721
616,4170.00,417,True,0.7719
617,3970.00,397,True,0.7717
